Run Number, Rate
1795,0.32 
1796,0.95 
1797,0.94 
1799,0.95 
1800,0.94 
1801,0.95 
1802,0.94 
1804,0.95 
1805,0.94 
1806,0.94 
1807,0.94 
1809,0.95 
1810,0.94 
1811,0.94 
1812,0.94 
1814,0.26 
1126,0.33 
1129,0.78 
1130,0.43 
1131,0.29 
1132,0.33 
1133,0.33 
1139,0.30 
1140,0.20 
1143,0.33 
1228,0.20 
1231,0.20 
1322,0.29 
1428,0.19 
2000,0.31 
2037,0.24 
2038,0.25 
2042,0.30 
2043,0.24 
2466,0.50 
2467,0.94 
2468,0.95 
2469,0.94 
2471,0.95 
2472,0.95 
2473,0.19 
3421,0.96 
3422,0.96 
3423,0.95 
3424,0.95 
3426,0.96 
3427,0.96 
3428,0.95 
3429,0.93 
3788,0.50 
3861,0.33 
3892,0.59 
3919,1.00 
4978,0.23 
5014,0.36 
5024,0.21 
7756,0.23 
7757,0.86 
7758,0.89 
7760,0.87 
7761,0.88 
7762,0.86 
7763,0.87 
7765,0.86 
7766,0.87 
7767,0.86 
7768,0.85 
7770,0.88 
7771,0.87 
7772,0.86 
7125,0.25 
7312,0.24 
7561,0.27 
7570,0.20 
