freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.454574580711868e-08,0
0.0,1,1.3975424859373687e-08,0
0.0,2,3.7652255255439465e-08,0
0.0,3,3.632577160305227e-08,0
0.0,4,4.188506018845534e-08,0
0.0,5,3.077192742129671e-08,0
0.0,6,8.385254915624211e-09,0
0.0,7,3.600139908101683e-08,0
0.0,8,3.090459180060527e-08,0
0.0,9,1.956817091830461e-08,0
0.0,10,3.072119942538428e-08,0
0.0,11,1.717776182487388e-08,0
0.0,12,2.5319220008385776e-08,0
0.0,13,3.0527655387722555e-08,0
0.0,14,2.5970674486788515e-08,0
0.0,15,2.5156623979879666e-08,0
2.0,0,5.454053295245079e-08,0
2.0,1,1.3975424859373687e-08,0
2.0,2,3.7236043739740866e-08,0
2.0,3,3.6294230702208665e-08,0
2.0,4,4.184576935154356e-08,0
2.0,5,3.076018871690427e-08,0
2.0,6,8.385254915624211e-09,0
2.0,7,3.615427611123903e-08,0
2.0,8,3.089118679940822e-08,0
2.0,9,1.956688226741237e-08,0
2.0,10,3.065677976986281e-08,0
2.0,11,1.836402107920334e-08,0
2.0,12,2.522432343486202e-08,0
2.0,13,3.042292795273212e-08,0
2.0,14,2.5963381450993397e-08,0
2.0,15,2.5158343238544105e-08,0
4.0,0,5.4695976508450745e-08,0
4.0,1,1.3975424859373687e-08,0
4.0,2,3.7540311203282045e-08,0
4.0,3,3.6321863812375005e-08,0
4.0,4,4.192627457812105e-08,0
4.0,5,3.0770623958156107e-08,0
4.0,6,8.385254915624211e-09,0
4.0,7,3.621578182756649e-08,0
4.0,8,3.091951698471898e-08,0
4.0,9,1.9569460757441107e-08,0
4.0,10,3.0793051403035445e-08,0
4.0,11,1.8345518029685775e-08,0
4.0,12,2.526403920058945e-08,0
4.0,13,3.0510103756899274e-08,0
4.0,14,2.6028912136878218e-08,0
4.0,15,2.5160921730215577e-08,0
6.0,0,5.463177920788311e-08,0
6.0,1,1.3975424859373687e-08,0
6.0,2,3.7946625293057033e-08,0
6.0,3,3.632749907719217e-08,0
6.0,4,4.1920665711956766e-08,0
6.0,5,3.077981977421027e-08,0
6.0,6,8.385254915624211e-09,0
6.0,7,3.603500611471345e-08,0
6.0,8,3.094243540809294e-08,0
6.0,9,1.9572475012284698e-08,0
6.0,10,3.080452970474379e-08,0
6.0,11,1.7201253804251216e-08,0
6.0,12,2.5373047237243314e-08,0
6.0,13,3.056118103737646e-08,0
6.0,14,2.6007610827608187e-08,0
6.0,15,2.5156623979879666e-08,0
8.0,0,5.483598246381634e-08,0
8.0,1,1.3975424859373687e-08,0
8.0,2,3.776574099785657e-08,0
8.0,3,3.63283548608821e-08,0
8.0,4,4.196626346030378e-08,0
8.0,5,3.0781117578379974e-08,0
8.0,6,8.385254915624211e-09,0
8.0,7,3.6244170077122884e-08,0
8.0,8,3.0956257916228526e-08,0
8.0,9,1.95707517864661e-08,0
8.0,10,3.087702492919521e-08,0
8.0,11,1.8288966455808137e-08,0
8.0,12,2.5309161833721514e-08,0
8.0,13,3.055022361270977e-08,0
8.0,14,2.6062463042627122e-08,0
8.0,15,2.5160921730215577e-08,0
10.0,0,5.469522251928226e-08,0
10.0,1,1.3975424859373687e-08,0
10.0,2,3.7402930959514606e-08,0
10.0,3,3.6299533429132104e-08,0
10.0,4,4.1894147164651236e-08,0
10.0,5,3.077198394478683e-08,0
10.0,6,8.385254915624211e-09,0
10.0,7,3.6248157024637087e-08,0
10.0,8,3.0932823361307935e-08,0
10.0,9,1.9569460757441107e-08,0
10.0,10,3.0776922328891233e-08,0
10.0,11,1.8606242818342405e-08,0
10.0,12,2.525435211003695e-08,0
10.0,13,3.047279474147182e-08,0
10.0,14,2.603779943515049e-08,0
10.0,15,2.5158343238544105e-08,0
12.0,0,5.4878215838377577e-08,0
12.0,1,1.3975424859373687e-08,0
12.0,2,3.8126310114847245e-08,0
12.0,3,3.633610463437159e-08,0
12.0,4,4.1986798071606537e-08,0
12.0,5,3.079570658796571e-08,0
12.0,6,8.385254915624211e-09,0
12.0,7,3.626939291317243e-08,0
12.0,8,3.100156557749708e-08,0
12.0,9,1.95707517864661e-08,0
12.0,10,3.09463370093603e-08,0
12.0,11,1.823079912267686e-08,0
12.0,12,2.538104025206851e-08,0
12.0,13,3.058823534395992e-08,0
12.0,14,2.6092040905244938e-08,0
12.0,15,2.5160921730215577e-08,0
14.0,0,5.485050091063762e-08,0
14.0,1,1.3975424859373687e-08,0
14.0,2,3.849283414774312e-08,0
14.0,3,3.633868550692179e-08,0
14.0,4,4.1983733221442085e-08,0
14.0,5,3.080828185776101e-08,0
14.0,6,8.385254915624211e-09,0
14.0,7,3.6165205686876403e-08,0
14.0,8,3.102214376204177e-08,0
14.0,9,1.9572475012284698e-08,0
14.0,10,3.096157313444786e-08,0
14.0,11,1.767632440546709e-08,0
14.0,12,2.548144291357497e-08,0
14.0,13,3.061386220882668e-08,0
14.0,14,2.6092805528427365e-08,0
14.0,15,2.515834244589373e-08,0
16.0,0,5.50347746868598e-08,0
16.0,1,1.3975424859373687e-08,0
16.0,2,3.7962669013488786e-08,0
16.0,3,3.632964350406212e-08,0
16.0,4,4.199076598395224e-08,0
16.0,5,3.080641159970313e-08,0
16.0,6,8.385254915624211e-09,0
16.0,7,3.6326675432056826e-08,0
16.0,8,3.102785152255473e-08,0
16.0,9,1.95707517864661e-08,0
16.0,10,3.0990106519418545e-08,0
16.0,11,1.8716667434714628e-08,0
16.0,12,2.5361631114054707e-08,0
16.0,13,3.056746659320378e-08,0
16.0,14,2.6138479749429714e-08,0
16.0,15,2.5160921730215577e-08,0
18.000000000000004,0,5.51705600443068e-08,0
18.000000000000004,1,1.3975424859373687e-08,0
18.000000000000004,2,3.8095351664681346e-08,0
18.000000000000004,3,3.633093811871192e-08,0
18.000000000000004,4,4.200840244213305e-08,0
18.000000000000004,5,3.082126322177902e-08,0
18.000000000000004,6,8.385254915624211e-09,0
18.000000000000004,7,3.634548861269442e-08,0
18.000000000000004,8,3.1078580042761765e-08,0
18.000000000000004,9,1.9572044007026885e-08,0
18.000000000000004,10,3.1037729275598044e-08,0
18.000000000000004,11,1.878112520016775e-08,0
18.000000000000004,12,2.538857232308365e-08,0
18.000000000000004,13,3.0587773784896516e-08,0
18.000000000000004,14,2.616928991233286e-08,0
18.000000000000004,15,2.5160921730215577e-08,0
20.0,0,5.513052539103774e-08,0
20.0,1,1.3975424859373687e-08,0
20.0,2,3.933615148472797e-08,0
20.0,3,3.6344710191550994e-08,0
20.0,4,4.203896471908891e-08,0
20.0,5,3.0861242001582084e-08,0
20.0,6,8.385254915624211e-09,0
20.0,7,3.6281901305893076e-08,0
20.0,8,3.116638179444225e-08,0
20.0,9,1.9574200360302578e-08,0
20.0,10,3.114909192820107e-08,0
20.0,11,1.8095393199649938e-08,0
20.0,12,2.5660095296145688e-08,0
20.0,13,3.0654684689955515e-08,0
20.0,14,2.6242345093995298e-08,0
20.0,15,2.5159200622683173e-08,0
22.0,0,5.543541534659155e-08,0
22.0,1,1.3975424859373687e-08,0
22.0,2,3.951026550801131e-08,0
22.0,3,3.633997058868953e-08,0
22.0,4,4.2090205140788924e-08,0
22.0,5,3.0879419211710193e-08,0
22.0,6,8.385254915624211e-09,0
22.0,7,3.636272449124658e-08,0
22.0,8,3.124310815633518e-08,0
22.0,9,1.9577224837680197e-08,0
22.0,10,3.126250259999706e-08,0
22.0,11,1.8661152316794408e-08,0
22.0,12,2.5670889458155982e-08,0
22.0,13,3.066645360137449e-08,0
22.0,14,2.6349460694125316e-08,0
22.0,15,2.5160921730215577e-08,0
24.0,0,5.545028665330464e-08,0
24.0,1,1.3975424859373687e-08,0
24.0,2,3.865553066410757e-08,0
24.0,3,3.633739925455309e-08,0
24.0,4,4.2041141083814546e-08,0
24.0,5,3.087800717241754e-08,0
24.0,6,8.385254915624211e-09,0
24.0,7,3.6366849232340554e-08,0
24.0,8,3.123243056140246e-08,0
24.0,9,1.957982244527523e-08,0
24.0,10,3.118759597285966e-08,0
24.0,11,1.9082642756146962e-08,0
24.0,12,2.5517686825914136e-08,0
24.0,13,3.0613350795538026e-08,0
24.0,14,2.6300280397263915e-08,0
24.0,15,2.5160921730215577e-08,0
26.000000000000004,0,5.574384653742782e-08,0
26.000000000000004,1,1.3975424859373687e-08,0
26.000000000000004,2,3.9930416114791865e-08,0
26.000000000000004,3,3.634384725202221e-08,0
26.000000000000004,4,4.211188031899813e-08,0
26.000000000000004,5,3.097723284881314e-08,0
26.000000000000004,6,8.385254915624211e-09,0
26.000000000000004,7,3.6394390766486507e-08,0
26.000000000000004,8,3.1435881038444234e-08,0
26.000000000000004,9,1.9583727884497695e-08,0
26.000000000000004,10,3.141344190935571e-08,0
26.000000000000004,11,1.8970995487498216e-08,0
26.000000000000004,12,2.583374874462715e-08,0
26.000000000000004,13,3.0671681958921446e-08,0
26.000000000000004,14,2.6493371782426035e-08,0
26.000000000000004,15,2.5160921730215577e-08,0
28.0,0,5.5809085621329244e-08,0
28.0,1,1.3975424859373687e-08,0
28.0,2,4.049173259302046e-08,0
28.0,3,3.635771834433041e-08,0
28.0,4,4.2152244211875436e-08,0
28.0,5,3.103691166124453e-08,0
28.0,6,8.385254915624211e-09,0
28.0,7,3.636802819369503e-08,0
28.0,8,3.163168514250157e-08,0
28.0,9,1.9580255847406366e-08,0
28.0,10,3.14534679554462e-08,0
28.0,11,1.8528025381745418e-08,0
28.0,12,2.6455278173544614e-08,0
28.0,13,3.070659192436175e-08,0
