freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.411712345617974e-08,0
0.0,1,1.3331356307687856e-08,0
0.0,2,3.846794505168638e-08,0
0.0,3,3.706715389957776e-08,0
0.0,4,4.1383323225130155e-08,0
0.0,5,3.146556121356089e-08,0
0.0,6,8.404584148039544e-09,0
0.0,7,3.8303649337805786e-08,0
0.0,8,3.186438899544459e-08,0
0.0,9,2.021631356182203e-08,0
0.0,10,3.0785234625931794e-08,0
0.0,11,1.2445923737275157e-08,0
0.0,12,2.673835050476297e-08,0
0.0,13,2.9748754680623446e-08,0
0.0,14,2.5488139031977844e-08,0
0.0,15,2.571329762757553e-08,0
0.8771929824561404,0,5.42957055690872e-08,0
0.8771929824561404,1,1.3422646591138006e-08,0
0.8771929824561404,2,3.855376991006711e-08,0
0.8771929824561404,3,3.716555776407597e-08,0
0.8771929824561404,4,4.151354817524326e-08,0
0.8771929824561404,5,3.157983511109424e-08,0
0.8771929824561404,6,8.43188530973425e-09,0
0.8771929824561404,7,3.8528398757129605e-08,0
0.8771929824561404,8,3.1971771996898844e-08,0
0.8771929824561404,9,2.0259190164928767e-08,0
0.8771929824561404,10,3.083658468156344e-08,0
0.8771929824561404,11,1.259789789006896e-08,0
0.8771929824561404,12,2.679604302208696e-08,0
0.8771929824561404,13,2.982605550835498e-08,0
0.8771929824561404,14,2.5590316331277217e-08,0
0.8771929824561404,15,2.5749638118770493e-08,0
1.7543859649122808,0,5.423377061037364e-08,0
1.7543859649122808,1,1.3548104997159242e-08,0
1.7543859649122808,2,3.848093603348255e-08,0
1.7543859649122808,3,3.7179615478029965e-08,0
1.7543859649122808,4,4.152220235923298e-08,0
1.7543859649122808,5,3.1588109539589696e-08,0
1.7543859649122808,6,8.445541971977658e-09,0
1.7543859649122808,7,3.8670890282486574e-08,0
1.7543859649122808,8,3.193824272501224e-08,0
1.7543859649122808,9,2.0219444030150515e-08,0
1.7543859649122808,10,3.089960609654253e-08,0
1.7543859649122808,11,1.2882512036327883e-08,0
1.7543859649122808,12,2.6726582602966565e-08,0
1.7543859649122808,13,2.978836056405641e-08,0
