freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.634606194842369e-08,0
0.0,1,5.692090971387503e-08,0
0.0,2,4.0495728652910916e-08,0
0.0,3,1.391155326148838e-08,0
0.0,4,4.268733776942193e-08,0
0.0,5,3.1708887068325664e-08,0
0.0,6,1.1502768950589782e-08,0
0.0,7,1.0187862365532563e-08,0
0.0,8,3.2846964694376194e-08,0
0.0,9,2.073067576464994e-08,0
0.0,10,3.003152829869436e-08,0
0.0,11,1.2029082418285512e-08,0
0.0,12,2.7419623671572255e-08,0
0.0,13,2.892056583590594e-08,0
0.0,14,2.7187074088767092e-08,0
0.0,15,1.405311585966204e-08,0
0.8771929824561404,0,5.644508187969906e-08,0
0.8771929824561404,1,5.712360265986346e-08,0
0.8771929824561404,2,4.056715483624187e-08,0
0.8771929824561404,3,1.3947902831797257e-08,0
0.8771929824561404,4,4.283363999979507e-08,0
0.8771929824561404,5,3.179564418688989e-08,0
0.8771929824561404,6,1.1538619804783183e-08,0
0.8771929824561404,7,1.0324464474609692e-08,0
0.8771929824561404,8,3.292244321096145e-08,0
0.8771929824561404,9,2.077608716094055e-08,0
0.8771929824561404,10,3.0103164440937904e-08,0
0.8771929824561404,11,1.2167340122911591e-08,0
0.8771929824561404,12,2.7468719557459212e-08,0
0.8771929824561404,13,2.9009228158095743e-08,0
0.8771929824561404,14,2.7268360864706176e-08,0
0.8771929824561404,15,1.404710582870257e-08,0
1.7543859649122808,0,5.646502428554108e-08,0
1.7543859649122808,1,5.7033697857777665e-08,0
1.7543859649122808,2,4.050417510296324e-08,0
1.7543859649122808,3,1.39903014172487e-08,0
1.7543859649122808,4,4.2828501177116974e-08,0
1.7543859649122808,5,3.1825176299729363e-08,0
1.7543859649122808,6,1.1559416078459919e-08,0
1.7543859649122808,7,1.0652001748719704e-08,0
1.7543859649122808,8,3.2910488112781e-08,0
1.7543859649122808,9,2.075082060728443e-08,0
1.7543859649122808,10,3.009052736670923e-08,0
1.7543859649122808,11,1.2366604973304158e-08,0
1.7543859649122808,12,2.7397667484482733e-08,0
1.7543859649122808,13,2.8981435372338058e-08,0
1.7543859649122808,14,2.726598119696801e-08,0
1.7543859649122808,15,1.4090828048303606e-08,0
2.631578947368421,0,5.642886084947784e-08,0
2.631578947368421,1,5.6926714719025754e-08,0
2.631578947368421,2,4.040015432263181e-08,0
2.631578947368421,3,1.4014496909592582e-08,0
2.631578947368421,4,4.2809694515517585e-08,0
2.631578947368421,5,3.1836217231231466e-08,0
2.631578947368421,6,1.1577248315478235e-08,0
2.631578947368421,7,1.0932300240815685e-08,0
2.631578947368421,8,3.28660289332725e-08,0
2.631578947368421,9,2.0721811846801116e-08,0
2.631578947368421,10,3.006205369686747e-08,0
2.631578947368421,11,1.250330107041969e-08,0
2.631578947368421,12,2.730380513870998e-08,0
2.631578947368421,13,2.8987253924510986e-08,0
2.631578947368421,14,2.7261217157391577e-08,0
2.631578947368421,15,1.4104625334812304e-08,0
3.5087719298245617,0,5.626619668727079e-08,0
3.5087719298245617,1,5.6794049272976535e-08,0
3.5087719298245617,2,4.028289382293536e-08,0
3.5087719298245617,3,1.3992210511335008e-08,0
3.5087719298245617,4,4.271117697237482e-08,0
3.5087719298245617,5,3.178782156387492e-08,0
3.5087719298245617,6,1.1570844840603765e-08,0
3.5087719298245617,7,1.1060641263958373e-08,0
3.5087719298245617,8,3.2795859198998125e-08,0
3.5087719298245617,9,2.0660807097763306e-08,0
3.5087719298245617,10,3.0001892634680085e-08,0
3.5087719298245617,11,1.2568071822996561e-08,0
3.5087719298245617,12,2.7211118311631444e-08,0
3.5087719298245617,13,2.8918951887897307e-08,0
3.5087719298245617,14,2.722268974487227e-08,0
3.5087719298245617,15,1.4078691684625691e-08,0
4.385964912280701,0,5.641809709046912e-08,0
4.385964912280701,1,5.692445330982641e-08,0
4.385964912280701,2,4.0397234105087853e-08,0
4.385964912280701,3,1.4012176355307064e-08,0
4.385964912280701,4,4.2815402499605555e-08,0
4.385964912280701,5,3.184856122785776e-08,0
4.385964912280701,6,1.1585530301603383e-08,0
4.385964912280701,7,1.0987988425433615e-08,0
4.385964912280701,8,3.2866637570602374e-08,0
4.385964912280701,9,2.0713084979552766e-08,0
4.385964912280701,10,3.007372806865274e-08,0
4.385964912280701,11,1.2538173449399443e-08,0
4.385964912280701,12,2.7302107277044135e-08,0
4.385964912280701,13,2.8984551371486866e-08,0
4.385964912280701,14,2.7267277016457093e-08,0
4.385964912280701,15,1.409985487390726e-08,0
5.263157894736842,0,5.651002758712924e-08,0
5.263157894736842,1,5.705664368557878e-08,0
5.263157894736842,2,4.051849028337498e-08,0
5.263157894736842,3,1.400857233972773e-08,0
5.263157894736842,4,4.285011205186369e-08,0
5.263157894736842,5,3.185849930292441e-08,0
5.263157894736842,6,1.1570307353562071e-08,0
5.263157894736842,7,1.0740992635218058e-08,0
5.263157894736842,8,3.292227139316206e-08,0
5.263157894736842,9,2.0768116652686765e-08,0
5.263157894736842,10,3.0106476165697086e-08,0
5.263157894736842,11,1.2407342313333913e-08,0
5.263157894736842,12,2.7400324541162185e-08,0
5.263157894736842,13,2.9009796395095482e-08,0
5.263157894736842,14,2.7282868181276245e-08,0
5.263157894736842,15,1.4099227335850674e-08,0
6.140350877192983,0,5.649903802115909e-08,0
6.140350877192983,1,5.716416551180624e-08,0
6.140350877192983,2,4.0612865576649894e-08,0
6.140350877192983,3,1.3972960257589806e-08,0
6.140350877192983,4,4.2885281762646585e-08,0
6.140350877192983,5,3.184157090982069e-08,0
6.140350877192983,6,1.1555549003562675e-08,0
6.140350877192983,7,1.0409149975350723e-08,0
6.140350877192983,8,3.296642954995888e-08,0
6.140350877192983,9,2.0805000517089176e-08,0
6.140350877192983,10,3.0128542563407364e-08,0
6.140350877192983,11,1.2243405460605648e-08,0
6.140350877192983,12,2.749407144797454e-08,0
6.140350877192983,13,2.9044618140370896e-08,0
6.140350877192983,14,2.730369677965298e-08,0
6.140350877192983,15,1.4052312819705528e-08,0
7.017543859649123,0,5.648244288352386e-08,0
7.017543859649123,1,5.707381008800359e-08,0
7.017543859649123,2,4.060478892674908e-08,0
7.017543859649123,3,1.3945387020816461e-08,0
7.017543859649123,4,4.28133996706244e-08,0
7.017543859649123,5,3.1799723949768575e-08,0
7.017543859649123,6,1.153427663283059e-08,0
7.017543859649123,7,1.0220048405317748e-08,0
7.017543859649123,8,3.2929026579821056e-08,0
7.017543859649123,9,2.0790452279576705e-08,0
7.017543859649123,10,3.014836538390924e-08,0
7.017543859649123,11,1.2067157067428958e-08,0
7.017543859649123,12,2.7498420273920798e-08,0
7.017543859649123,13,2.9002891109538436e-08,0
7.017543859649123,14,2.7269368866601005e-08,0
7.017543859649123,15,1.407863624479056e-08,0
7.894736842105264,0,5.655567368282185e-08,0
7.894736842105264,1,5.720154474972664e-08,0
7.894736842105264,2,4.0647162207755475e-08,0
7.894736842105264,3,1.3964236308892342e-08,0
7.894736842105264,4,4.288669883875641e-08,0
7.894736842105264,5,3.185377919930525e-08,0
7.894736842105264,6,1.1554695960780736e-08,0
7.894736842105264,7,1.0296425092650561e-08,0
7.894736842105264,8,3.2975149082553664e-08,0
7.894736842105264,9,2.081340169413883e-08,0
7.894736842105264,10,3.0163893199075216e-08,0
7.894736842105264,11,1.2151747416230262e-08,0
7.894736842105264,12,2.7522644729374085e-08,0
7.894736842105264,13,2.9066978124458595e-08,0
7.894736842105264,14,2.7313464034984214e-08,0
7.894736842105264,15,1.4082719583608802e-08,0
8.771929824561402,0,5.6619098443585765e-08,0
8.771929824561402,1,5.717654572291892e-08,0
8.771929824561402,2,4.0621694087990166e-08,0
8.771929824561402,3,1.400920165331439e-08,0
8.771929824561402,4,4.293954803051196e-08,0
8.771929824561402,5,3.188262774928897e-08,0
8.771929824561402,6,1.1581042005662796e-08,0
8.771929824561402,7,1.0599105079428498e-08,0
8.771929824561402,8,3.3005238848070946e-08,0
8.771929824561402,9,2.080881893053673e-08,0
8.771929824561402,10,3.0150959037631596e-08,0
8.771929824561402,11,1.2363020644721978e-08,0
8.771929824561402,12,2.747448667313037e-08,0
8.771929824561402,13,2.904796963056512e-08,0
8.771929824561402,14,2.7333405540226044e-08,0
8.771929824561402,15,1.4104078676708098e-08,0
9.649122807017545,0,5.6578421773470694e-08,0
9.649122807017545,1,5.709428844074728e-08,0
9.649122807017545,2,4.051696925360999e-08,0
9.649122807017545,3,1.4052554975628308e-08,0
9.649122807017545,4,4.293008542398361e-08,0
9.649122807017545,5,3.191544703251456e-08,0
9.649122807017545,6,1.1604256802083024e-08,0
9.649122807017545,7,1.0900880158264208e-08,0
9.649122807017545,8,3.295547128776227e-08,0
9.649122807017545,9,2.0784745734299432e-08,0
9.649122807017545,10,3.013818252893308e-08,0
9.649122807017545,11,1.2516924857574842e-08,0
9.649122807017545,12,2.739650611737511e-08,0
9.649122807017545,13,2.9067545628197333e-08,0
9.649122807017545,14,2.733657062409742e-08,0
9.649122807017545,15,1.4132977315957655e-08,0
10.526315789473683,0,5.648302099082717e-08,0
10.526315789473683,1,5.697188564317134e-08,0
10.526315789473683,2,4.042023198642534e-08,0
10.526315789473683,3,1.403519111906038e-08,0
10.526315789473683,4,4.2873272722398015e-08,0
10.526315789473683,5,3.190192690469222e-08,0
10.526315789473683,6,1.1607237779757073e-08,0
10.526315789473683,7,1.1090543249276532e-08,0
10.526315789473683,8,3.2926495795094404e-08,0
10.526315789473683,9,2.0740574706143e-08,0
10.526315789473683,10,3.012199622499183e-08,0
10.526315789473683,11,1.2614579720950886e-08,0
10.526315789473683,12,2.7327060719482947e-08,0
10.526315789473683,13,2.9025144146513082e-08,0
10.526315789473683,14,2.732298005315476e-08,0
10.526315789473683,15,1.4122568211898895e-08,0
11.403508771929825,0,5.6560264706894254e-08,0
11.403508771929825,1,5.707076834475276e-08,0
11.403508771929825,2,4.049831217375362e-08,0
11.403508771929825,3,1.4052576305642802e-08,0
11.403508771929825,4,4.292246820914627e-08,0
11.403508771929825,5,3.195515358240749e-08,0
11.403508771929825,6,1.1626450280935057e-08,0
11.403508771929825,7,1.1065707536355151e-08,0
11.403508771929825,8,3.2959171258736275e-08,0
11.403508771929825,9,2.077400870815984e-08,0
11.403508771929825,10,3.016053887445786e-08,0
11.403508771929825,11,1.260405737845953e-08,0
11.403508771929825,12,2.7367651245887784e-08,0
11.403508771929825,13,2.9071824478254685e-08,0
11.403508771929825,14,2.736939485965835e-08,0
11.403508771929825,15,1.4128700025593923e-08,0
12.280701754385966,0,5.672503211520727e-08,0
12.280701754385966,1,5.7229787528472245e-08,0
12.280701754385966,2,4.063736325280909e-08,0
12.280701754385966,3,1.4058083462439101e-08,0
12.280701754385966,4,4.300795965211594e-08,0
12.280701754385966,5,3.198344163430282e-08,0
12.280701754385966,6,1.1617190193947146e-08,0
12.280701754385966,7,1.084815353749684e-08,0
12.280701754385966,8,3.3033198706359025e-08,0
12.280701754385966,9,2.0839315163921743e-08,0
12.280701754385966,10,3.0216327918560994e-08,0
12.280701754385966,11,1.249210707607703e-08,0
12.280701754385966,12,2.7481088302051765e-08,0
12.280701754385966,13,2.9127252964939895e-08,0
12.280701754385966,14,2.738760656476444e-08,0
12.280701754385966,15,1.4144854370974312e-08,0
13.157894736842106,0,5.673121490596102e-08,0
13.157894736842106,1,5.736004937226773e-08,0
13.157894736842106,2,4.07650852683171e-08,0
13.157894736842106,3,1.4045575178228174e-08,0
13.157894736842106,4,4.3044669967357104e-08,0
13.157894736842106,5,3.1983352710552966e-08,0
13.157894736842106,6,1.161182694122151e-08,0
13.157894736842106,7,1.0530169396505888e-08,0
13.157894736842106,8,3.3093694465577245e-08,0
13.157894736842106,9,2.089352076475315e-08,0
13.157894736842106,10,3.024954906716226e-08,0
13.157894736842106,11,1.2341048253136016e-08,0
13.157894736842106,12,2.7594611116196286e-08,0
13.157894736842106,13,2.9160321049564187e-08,0
13.157894736842106,14,2.741824956723898e-08,0
13.157894736842106,15,1.4105253503278827e-08,0
14.035087719298247,0,5.676679447531658e-08,0
14.035087719298247,1,5.7336332589808594e-08,0
14.035087719298247,2,4.080529957296285e-08,0
14.035087719298247,3,1.401300750542417e-08,0
14.035087719298247,4,4.3034104186147865e-08,0
14.035087719298247,5,3.196629216040756e-08,0
14.035087719298247,6,1.16017515867013e-08,0
