freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,4.34521846521371e-08,0
0.0,1,7.21362844791789e-09,0
0.0,2,2.9385486376158078e-08,0
0.0,3,4.9151517790684155e-09,0
0.0,4,3.299512261679458e-08,0
0.0,5,2.4302571432129516e-08,0
0.0,6,6.267763828728416e-09,0
0.0,7,2.335420831736268e-08,0
0.0,8,2.5585039002876315e-08,0
0.0,9,1.656062043466587e-08,0
0.0,10,2.180278395775211e-08,0
0.0,11,1.3754957177389975e-08,0
0.0,12,2.1339277097643912e-08,0
0.0,13,2.1177675163416632e-08,0
0.0,14,2.1037636285535835e-08,0
0.0,15,1.7634472898661957e-08,0
0.8591065292096219,0,4.3599695573313594e-08,0
0.8591065292096219,1,7.237114518487629e-09,0
0.8591065292096219,2,2.9575279472227368e-08,0
0.8591065292096219,3,4.854221253805728e-09,0
0.8591065292096219,4,3.324482930518661e-08,0
0.8591065292096219,5,2.453625613871319e-08,0
0.8591065292096219,6,6.294816830984182e-09,0
0.8591065292096219,7,2.353103047065197e-08,0
0.8591065292096219,8,2.579537644701853e-08,0
0.8591065292096219,9,1.643468804805382e-08,0
0.8591065292096219,10,2.179098454020504e-08,0
0.8591065292096219,11,1.3997310706292126e-08,0
0.8591065292096219,12,2.1535753778412362e-08,0
0.8591065292096219,13,2.1400645933175086e-08,0
0.8591065292096219,14,2.1167933433304283e-08,0
0.8591065292096219,15,1.779802948830507e-08,0
1.7182130584192439,0,4.348646150338189e-08,0
1.7182130584192439,1,7.206244919874124e-09,0
1.7182130584192439,2,2.9573431764764328e-08,0
1.7182130584192439,3,4.705855909737128e-09,0
1.7182130584192439,4,3.3353074409570584e-08,0
1.7182130584192439,5,2.4640568259465607e-08,0
1.7182130584192439,6,6.266011024029977e-09,0
1.7182130584192439,7,2.3621084933464564e-08,0
1.7182130584192439,8,2.5919719736840237e-08,0
1.7182130584192439,9,1.6062808659970705e-08,0
1.7182130584192439,10,2.1575647514233968e-08,0
1.7182130584192439,11,1.4201977540056451e-08,0
1.7182130584192439,12,2.1603710548733274e-08,0
1.7182130584192439,13,2.153189762189906e-08,0
1.7182130584192439,14,2.1147085880025087e-08,0
1.7182130584192439,15,1.784713899648093e-08,0
2.577319587628866,0,4.352409473634403e-08,0
2.577319587628866,1,7.212404210857587e-09,0
2.577319587628866,2,2.9579843968522645e-08,0
2.577319587628866,3,4.721576586061069e-09,0
2.577319587628866,4,3.335524199375057e-08,0
2.577319587628866,5,2.4645463829629258e-08,0
2.577319587628866,6,6.272065651686381e-09,0
2.577319587628866,7,2.361817963127012e-08,0
2.577319587628866,8,2.592399839562271e-08,0
2.577319587628866,9,1.610290753012318e-08,0
2.577319587628866,10,2.1600684871894255e-08,0
2.577319587628866,11,1.419167038351404e-08,0
2.577319587628866,12,2.160121400275834e-08,0
2.577319587628866,13,2.1527474754654155e-08,0
2.577319587628866,14,2.1157321740866862e-08,0
2.577319587628866,15,1.785500207952943e-08,0
3.4364261168384878,0,4.3626477390703184e-08,0
3.4364261168384878,1,7.242765337918958e-09,0
3.4364261168384878,2,2.9572687825142273e-08,0
3.4364261168384878,3,4.873828902524154e-09,0
3.4364261168384878,4,3.324224757189291e-08,0
3.4364261168384878,5,2.4519293355138508e-08,0
3.4364261168384878,6,6.295828632935235e-09,0
3.4364261168384878,7,2.3527773301570412e-08,0
3.4364261168384878,8,2.5777958780535644e-08,0
3.4364261168384878,9,1.6484953365319636e-08,0
3.4364261168384878,10,2.1823652754120112e-08,0
3.4364261168384878,11,1.3966573599395961e-08,0
3.4364261168384878,12,2.1524832067885477e-08,0
3.4364261168384878,13,2.138423645399895e-08,0
3.4364261168384878,14,2.1173977372642835e-08,0
3.4364261168384878,15,1.779250207298262e-08,0
4.295532646048111,0,4.359951990120807e-08,0
4.295532646048111,1,7.2364438255552564e-09,0
4.295532646048111,2,2.9471646154523086e-08,0
4.295532646048111,3,4.928013077036698e-09,0
4.295532646048111,4,3.309546674544425e-08,0
4.295532646048111,5,2.437312802802513e-08,0
4.295532646048111,6,6.288259341449557e-09,0
4.295532646048111,7,2.3426863435970734e-08,0
4.295532646048111,8,2.5652333128808268e-08,0
4.295532646048111,9,1.660612254048374e-08,0
4.295532646048111,10,2.1863534966963522e-08,0
4.295532646048111,11,1.3801854809887381e-08,0
4.295532646048111,12,2.140179233334607e-08,0
4.295532646048111,13,2.1249293270670194e-08,0
4.295532646048111,14,2.1098895913701358e-08,0
4.295532646048111,15,1.7691153638036897e-08,0
5.154639175257732,0,4.3618587451772e-08,0
5.154639175257732,1,7.23832197807083e-09,0
5.154639175257732,2,2.9607213098160018e-08,0
5.154639175257732,3,4.837447243971262e-09,0
5.154639175257732,4,3.3291961280127714e-08,0
5.154639175257732,5,2.4579371811551886e-08,0
5.154639175257732,6,6.298894909371427e-09,0
5.154639175257732,7,2.355716883586939e-08,0
5.154639175257732,8,2.5847158842359258e-08,0
5.154639175257732,9,1.6400565636563126e-08,0
5.154639175257732,10,2.177958811306286e-08,0
5.154639175257732,11,1.404063754644857e-08,0
5.154639175257732,12,2.1569743007741773e-08,0
5.154639175257732,13,2.1440204857965642e-08,0
5.154639175257732,14,2.118856145817588e-08,0
5.154639175257732,15,1.7826400490033285e-08,0
6.013745704467353,0,4.348745744387636e-08,0
6.013745704467353,1,7.205462772337462e-09,0
6.013745704467353,2,2.959134295852608e-08,0
6.013745704467353,3,4.69660816994544e-09,0
6.013745704467353,4,3.336814986682698e-08,0
6.013745704467353,5,2.465615047776172e-08,0
6.013745704467353,6,6.265466936987158e-09,0
6.013745704467353,7,2.363423328734384e-08,0
6.013745704467353,8,2.5948781999494817e-08,0
6.013745704467353,9,1.604633085946358e-08,0
6.013745704467353,10,2.1568065691873673e-08,0
6.013745704467353,11,1.4222606144714644e-08,0
6.013745704467353,12,2.1623103750896413e-08,0
6.013745704467353,13,2.155022047653249e-08,0
6.013745704467353,14,2.1162155540204987e-08,0
6.013745704467353,15,1.7859133585759782e-08,0
6.8728522336769755,0,4.362551877041788e-08,0
6.8728522336769755,1,7.225422420656574e-09,0
6.8728522336769755,2,2.962204587196654e-08,0
6.8728522336769755,3,4.744484295760508e-09,0
6.8728522336769755,4,3.339357961364947e-08,0
6.8728522336769755,5,2.467299032616785e-08,0
6.8728522336769755,6,6.284964505233518e-09,0
6.8728522336769755,7,2.364034011385441e-08,0
6.8728522336769755,8,2.5938920454809397e-08,0
6.8728522336769755,9,1.6164454874364613e-08,0
6.8728522336769755,10,2.1651867007924683e-08,0
6.8728522336769755,11,1.41918646627385e-08,0
6.8728522336769755,12,2.1626364145415614e-08,0
6.8728522336769755,13,2.1538987481615695e-08,0
6.8728522336769755,14,2.1191341483454362e-08,0
6.8728522336769755,15,1.7872304559487285e-08,0
7.731958762886598,0,4.370319646833234e-08,0
7.731958762886598,1,7.253103750803906e-09,0
7.731958762886598,2,2.9600433379758334e-08,0
7.731958762886598,3,4.896546737081964e-09,0
7.731958762886598,4,3.326022674222133e-08,0
7.731958762886598,5,2.4520857061287452e-08,0
7.731958762886598,6,6.303904658141953e-09,0
7.731958762886598,7,2.3549458153502717e-08,0
