freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.144714415855973e-08,0
0.0,1,5.349627121686453e-08,0
0.0,2,3.601542224216399e-08,0
0.0,3,3.288180985657504e-08,0
0.0,4,3.850263389713368e-08,0
0.0,5,2.869023424902749e-08,0
0.0,6,1.2174738472792191e-08,0
0.0,7,3.5991542699285105e-08,0
0.0,8,3.003908118211583e-08,0
0.0,9,2.1698138105670964e-08,0
0.0,10,2.7518158154765942e-08,0
0.0,11,1.1340554971107561e-08,0
0.0,12,2.418588549601566e-08,0
0.0,13,2.578000361472345e-08,0
0.0,14,2.4841020066890996e-08,0
0.0,15,2.2478277039152523e-08,0
0.8591065292096219,0,5.154766049827491e-08,0
0.8591065292096219,1,5.3580373129794356e-08,0
0.8591065292096219,2,3.611204092570088e-08,0
0.8591065292096219,3,3.293742107285898e-08,0
0.8591065292096219,4,3.8596364318670564e-08,0
0.8591065292096219,5,2.881288191405226e-08,0
0.8591065292096219,6,1.220731792260448e-08,0
0.8591065292096219,7,3.6140700351999195e-08,0
0.8591065292096219,8,3.0088790849433106e-08,0
0.8591065292096219,9,2.1706305038356736e-08,0
0.8591065292096219,10,2.7530041264080367e-08,0
0.8591065292096219,11,1.1472581810534018e-08,0
0.8591065292096219,12,2.4311856205587572e-08,0
0.8591065292096219,13,2.5918855721591354e-08,0
0.8591065292096219,14,2.4913463574942848e-08,0
0.8591065292096219,15,2.2564823570775653e-08,0
1.7182130584192439,0,5.154737564277948e-08,0
1.7182130584192439,1,5.351903553672705e-08,0
1.7182130584192439,2,3.5953977506081104e-08,0
1.7182130584192439,3,3.294757934384806e-08,0
1.7182130584192439,4,3.8587395373879314e-08,0
1.7182130584192439,5,2.8930892873335082e-08,0
1.7182130584192439,6,1.2212989117214249e-08,0
1.7182130584192439,7,3.6237243803183286e-08,0
1.7182130584192439,8,2.997595178216608e-08,0
1.7182130584192439,9,2.1645531698577225e-08,0
1.7182130584192439,10,2.742739952286243e-08,0
1.7182130584192439,11,1.1699900082255505e-08,0
1.7182130584192439,12,2.4377025407923036e-08,0
1.7182130584192439,13,2.6086530980003362e-08,0
1.7182130584192439,14,2.4944653862177577e-08,0
1.7182130584192439,15,2.256380062684606e-08,0
2.577319587628866,0,5.1403207140197926e-08,0
2.577319587628866,1,5.3452080203899234e-08,0
2.577319587628866,2,3.582818716440386e-08,0
2.577319587628866,3,3.2891462466202065e-08,0
2.577319587628866,4,3.851679234942956e-08,0
2.577319587628866,5,2.904951871029175e-08,0
2.577319587628866,6,1.2228632399910665e-08,0
2.577319587628866,7,3.629657725801537e-08,0
2.577319587628866,8,2.991851286048003e-08,0
2.577319587628866,9,2.1535230761227856e-08,0
2.577319587628866,10,2.73662141358532e-08,0
2.577319587628866,11,1.1879223347876555e-08,0
2.577319587628866,12,2.4420445743017198e-08,0
2.577319587628866,13,2.6207599916085647e-08,0
2.577319587628866,14,2.4964192429643873e-08,0
2.577319587628866,15,2.2527722635424313e-08,0
3.4364261168384878,0,5.135771042892193e-08,0
3.4364261168384878,1,5.339204811569415e-08,0
3.4364261168384878,2,3.5794507804387005e-08,0
3.4364261168384878,3,3.285832965244129e-08,0
3.4364261168384878,4,3.8484010147046136e-08,0
3.4364261168384878,5,2.904543385290638e-08,0
3.4364261168384878,6,1.2226848505462102e-08,0
3.4364261168384878,7,3.629385143836142e-08,0
3.4364261168384878,8,2.989435627357922e-08,0
3.4364261168384878,9,2.1495061798111326e-08,0
3.4364261168384878,10,2.7346368800280223e-08,0
3.4364261168384878,11,1.190641083690394e-08,0
3.4364261168384878,12,2.4411194032987835e-08,0
3.4364261168384878,13,2.6232399689773976e-08,0
3.4364261168384878,14,2.4963318809019904e-08,0
3.4364261168384878,15,2.2511813198012854e-08,0
4.295532646048111,0,5.151573389583683e-08,0
4.295532646048111,1,5.352125096104732e-08,0
4.295532646048111,2,3.592411731055436e-08,0
4.295532646048111,3,3.2945774913453185e-08,0
4.295532646048111,4,3.8596476892855686e-08,0
4.295532646048111,5,2.9001675299066938e-08,0
4.295532646048111,6,1.222399262322341e-08,0
4.295532646048111,7,3.628725349984428e-08,0
4.295532646048111,8,2.996685634088662e-08,0
4.295532646048111,9,2.1621605598917297e-08,0
4.295532646048111,10,2.740316507804889e-08,0
4.295532646048111,11,1.1771883367927252e-08,0
4.295532646048111,12,2.4417966495081903e-08,0
4.295532646048111,13,2.6156979986186293e-08,0
4.295532646048111,14,2.4967078026477128e-08,0
4.295532646048111,15,2.2551425745046995e-08,0
5.154639175257732,0,5.1588901811601305e-08,0
