Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
0 NuE CC 0.1 0 0.0 0
1 NuMu NC 0.9 0 0.0 0
2 NuE CC 0.1 0 0.5 0
3 NuMu NC 0.9 0 0.5 0
4 NuE CC 0.1 0 1.0 0
5 NuMu NC 0.9 0 1.0 0
6 NuE CC 0.1 0 1.5 0
7 NuMu NC 0.9 0 1.5 0
8 NuE CC 0.1 0 2.0 0
9 NuMu NC 0.9 0 2.0 0
10 NuE CC 0.1 0 2.5 0
11 NuMu NC 0.9 0 2.5 0
12 NuE CC 0.1 0 3.0 0
13 NuMu NC 0.9 0 3.0 0
14 NuE CC 0.1 0 3.5 0
15 NuMu NC 0.9 0 3.5 0
16 NuE CC 0.1 0 4.0 0
17 NuMu NC 0.9 0 4.0 0
18 NuE CC 0.1 -10 0.0 0
19 NuMu NC 0.9 -10 0.0 0
20 NuE CC 0.1 -10 0.5 0
21 NuMu NC 0.9 -10 0.5 0
22 NuE CC 0.1 -10 1.0 0
23 NuMu NC 0.9 -10 1.0 0
24 NuE CC 0.1 -10 1.5 0
25 NuMu NC 0.9 -10 1.5 0
26 NuE CC 0.1 -10 2.0 0
27 NuMu NC 0.9 -10 2.0 0
28 NuE CC 0.1 -10 2.5 0
29 NuMu NC 0.9 -10 2.5 0
30 NuE CC 0.1 -10 3.0 0
31 NuMu NC 0.9 -10 3.0 0
32 NuE CC 0.1 -10 3.5 0
33 NuMu NC 0.9 -10 3.5 0
34 NuE CC 0.1 -10 4.0 0
35 NuMu NC 0.9 -10 4.0 0
36 NuE CC 0.1 -20 0.0 0
37 NuMu NC 0.9 -20 0.0 0
38 NuE CC 0.1 -20 0.5 0
39 NuMu NC 0.9 -20 0.5 0
40 NuE CC 0.1 -20 1.0 0
41 NuMu NC 0.9 -20 1.0 0
42 NuE CC 0.1 -20 1.5 0
43 NuMu NC 0.9 -20 1.5 0
44 NuE CC 0.1 -20 2.0 0
45 NuMu NC 0.9 -20 2.0 0
46 NuE CC 0.1 -20 2.5 0
47 NuMu NC 0.9 -20 2.5 0
48 NuE CC 0.1 -20 3.0 0
49 NuMu NC 0.9 -20 3.0 0
50 NuE CC 0.1 -20 3.5 0
51 NuMu NC 0.9 -20 3.5 0
52 NuE CC 0.1 -20 4.0 0
53 NuMu NC 0.9 -20 4.0 0
54 NuE CC 0.1 -30 0.0 0
55 NuMu NC 0.9 -30 0.0 0
56 NuE CC 0.1 -30 0.5 0
57 NuMu NC 0.9 -30 0.5 0
58 NuE CC 0.1 -30 1.0 0
59 NuMu NC 0.9 -30 1.0 0
60 NuE CC 0.1 -30 1.5 0
61 NuMu NC 0.9 -30 1.5 0
62 NuE CC 0.1 -30 2.0 0
63 NuMu NC 0.9 -30 2.0 0
64 NuE CC 0.1 -30 2.5 0
65 NuMu NC 0.9 -30 2.5 0
66 NuE CC 0.1 -30 3.0 0
67 NuMu NC 0.9 -30 3.0 0
68 NuE CC 0.1 -30 3.5 0
69 NuMu NC 0.9 -30 3.5 0
70 NuE CC 0.1 -30 4.0 0
71 NuMu NC 0.9 -30 4.0 0
72 NuE CC 0.1 -40 0.0 0
73 NuMu NC 0.9 -40 0.0 0
74 NuE CC 0.1 -40 0.5 0
75 NuMu NC 0.9 -40 0.5 0
76 NuE CC 0.1 -40 1.0 0
77 NuMu NC 0.9 -40 1.0 0
78 NuE CC 0.1 -40 1.5 0
79 NuMu NC 0.9 -40 1.5 0
80 NuE CC 0.1 -40 2.0 0
81 NuMu NC 0.9 -40 2.0 0
82 NuE CC 0.1 -40 2.5 0
83 NuMu NC 0.9 -40 2.5 0
84 NuE CC 0.1 -40 3.0 0
85 NuMu NC 0.9 -40 3.0 0
86 NuE CC 0.1 -40 3.5 0
87 NuMu NC 0.9 -40 3.5 0
88 NuE CC 0.1 -40 4.0 0
89 NuMu NC 0.9 -40 4.0 0
90 NuE CC 0.1 -50 0.0 0
91 NuMu NC 0.9 -50 0.0 0
92 NuE CC 0.1 -50 0.5 0
93 NuMu NC 0.9 -50 0.5 0
94 NuE CC 0.1 -50 1.0 0
95 NuMu NC 0.9 -50 1.0 0
96 NuE CC 0.1 -50 1.5 0
97 NuMu NC 0.9 -50 1.5 0
98 NuE CC 0.1 -50 2.0 0
