Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
0 NuE CC 0.1 0 0 0
1 NuE CC 0.4 0 0 0
2 NuE CC 0.7 0 0 0
3 NuMu NC 0.9 0 0 0
4 NuMu NC 0.6 0 0 0
5 NuMu NC 0.3 0 0 0
6 NuE CC 0.1 0 1 0
7 NuE CC 0.4 0 1 0
8 NuE CC 0.7 0 1 0
9 NuMu NC 0.9 0 1 0
10 NuMu NC 0.6 0 1 0
11 NuMu NC 0.3 0 1 0
12 NuE CC 0.1 0 2 0
13 NuE CC 0.4 0 2 0
14 NuE CC 0.7 0 2 0
15 NuMu NC 0.9 0 2 0
16 NuMu NC 0.6 0 2 0
17 NuMu NC 0.3 0 2 0
18 NuE CC 0.1 0 3 0
19 NuE CC 0.4 0 3 0
20 NuE CC 0.7 0 3 0
21 NuMu NC 0.9 0 3 0
22 NuMu NC 0.6 0 3 0
23 NuMu NC 0.3 0 3 0
24 NuE CC 0.1 0 4 0
25 NuE CC 0.4 0 4 0
26 NuE CC 0.7 0 4 0
27 NuMu NC 0.9 0 4 0
28 NuMu NC 0.6 0 4 0
29 NuMu NC 0.3 0 4 0
30 NuE CC 0.1 -15 0 0
31 NuE CC 0.4 -15 0 0
32 NuE CC 0.7 -15 0 0
33 NuMu NC 0.9 -15 0 0
34 NuMu NC 0.6 -15 0 0
35 NuMu NC 0.3 -15 0 0
36 NuE CC 0.1 -15 1 0
37 NuE CC 0.4 -15 1 0
38 NuE CC 0.7 -15 1 0
39 NuMu NC 0.9 -15 1 0
40 NuMu NC 0.6 -15 1 0
41 NuMu NC 0.3 -15 1 0
42 NuE CC 0.1 -15 2 0
43 NuE CC 0.4 -15 2 0
44 NuE CC 0.7 -15 2 0
45 NuMu NC 0.9 -15 2 0
46 NuMu NC 0.6 -15 2 0
47 NuMu NC 0.3 -15 2 0
48 NuE CC 0.1 -15 3 0
49 NuE CC 0.4 -15 3 0
50 NuE CC 0.7 -15 3 0
51 NuMu NC 0.9 -15 3 0
52 NuMu NC 0.6 -15 3 0
53 NuMu NC 0.3 -15 3 0
54 NuE CC 0.1 -15 4 0
55 NuE CC 0.4 -15 4 0
56 NuE CC 0.7 -15 4 0
57 NuMu NC 0.9 -15 4 0
58 NuMu NC 0.6 -15 4 0
59 NuMu NC 0.3 -15 4 0
60 NuE CC 0.1 -30 0 0
61 NuE CC 0.4 -30 0 0
62 NuE CC 0.7 -30 0 0
63 NuMu NC 0.9 -30 0 0
64 NuMu NC 0.6 -30 0 0
65 NuMu NC 0.3 -30 0 0
66 NuE CC 0.1 -30 1 0
67 NuE CC 0.4 -30 1 0
68 NuE CC 0.7 -30 1 0
69 NuMu NC 0.9 -30 1 0
70 NuMu NC 0.6 -30 1 0
71 NuMu NC 0.3 -30 1 0
72 NuE CC 0.1 -30 2 0
73 NuE CC 0.4 -30 2 0
74 NuE CC 0.7 -30 2 0
75 NuMu NC 0.9 -30 2 0
76 NuMu NC 0.6 -30 2 0
77 NuMu NC 0.3 -30 2 0
78 NuE CC 0.1 -30 3 0
79 NuE CC 0.4 -30 3 0
80 NuE CC 0.7 -30 3 0
81 NuMu NC 0.9 -30 3 0
82 NuMu NC 0.6 -30 3 0
83 NuMu NC 0.3 -30 3 0
84 NuE CC 0.1 -30 4 0
85 NuE CC 0.4 -30 4 0
86 NuE CC 0.7 -30 4 0
87 NuMu NC 0.9 -30 4 0
88 NuMu NC 0.6 -30 4 0
89 NuMu NC 0.3 -30 4 0
90 NuE CC 0.1 -45 0 0
91 NuE CC 0.4 -45 0 0
92 NuE CC 0.7 -45 0 0
93 NuMu NC 0.9 -45 0 0
94 NuMu NC 0.6 -45 0 0
95 NuMu NC 0.3 -45 0 0
96 NuE CC 0.1 -45 1 0
97 NuE CC 0.4 -45 1 0
98 NuE CC 0.7 -45 1 0
99 NuMu NC 0.9 -45 1 0
100 NuMu NC 0.6 -45 1 0
101 NuMu NC 0.3 -45 1 0
102 NuE CC 0.1 -45 2 0
103 NuE CC 0.4 -45 2 0
104 NuE CC 0.7 -45 2 0
105 NuMu NC 0.9 -45 2 0
106 NuMu NC 0.6 -45 2 0
107 NuMu NC 0.3 -45 2 0
108 NuE CC 0.1 -45 3 0
109 NuE CC 0.4 -45 3 0
110 NuE CC 0.7 -45 3 0
111 NuMu NC 0.9 -45 3 0
112 NuMu NC 0.6 -45 3 0
113 NuMu NC 0.3 -45 3 0
114 NuE CC 0.1 -45 4 0
115 NuE CC 0.4 -45 4 0
116 NuE CC 0.7 -45 4 0
117 NuMu NC 0.9 -45 4 0
118 NuMu NC 0.6 -45 4 0
119 NuMu NC 0.3 -45 4 0
120 NuE CC 0.1 -60 0 0
121 NuE CC 0.4 -60 0 0
122 NuE CC 0.7 -60 0 0
123 NuMu NC 0.9 -60 0 0
124 NuMu NC 0.6 -60 0 0
125 NuMu NC 0.3 -60 0 0
126 NuE CC 0.1 -60 1 0
127 NuE CC 0.4 -60 1 0
128 NuE CC 0.7 -60 1 0
129 NuMu NC 0.9 -60 1 0
130 NuMu NC 0.6 -60 1 0
131 NuMu NC 0.3 -60 1 0
132 NuE CC 0.1 -60 2 0
133 NuE CC 0.4 -60 2 0
134 NuE CC 0.7 -60 2 0
135 NuMu NC 0.9 -60 2 0
136 NuMu NC 0.6 -60 2 0
137 NuMu NC 0.3 -60 2 0
138 NuE CC 0.1 -60 3 0
139 NuE CC 0.4 -60 3 0
140 NuE CC 0.7 -60 3 0
141 NuMu NC 0.9 -60 3 0
142 NuMu NC 0.6 -60 3 0
143 NuMu NC 0.3 -60 3 0
144 NuE CC 0.1 -60 4 0
145 NuE CC 0.4 -60 4 0
146 NuE CC 0.7 -60 4 0
147 NuMu NC 0.9 -60 4 0
148 NuMu NC 0.6 -60 4 0
149 NuMu NC 0.3 -60 4 0
150 NuE CC 0.1 -75 0 0
151 NuE CC 0.4 -75 0 0
152 NuE CC 0.7 -75 0 0
153 NuMu NC 0.9 -75 0 0
154 NuMu NC 0.6 -75 0 0
155 NuMu NC 0.3 -75 0 0
156 NuE CC 0.1 -75 1 0
157 NuE CC 0.4 -75 1 0
158 NuE CC 0.7 -75 1 0
159 NuMu NC 0.9 -75 1 0
160 NuMu NC 0.6 -75 1 0
161 NuMu NC 0.3 -75 1 0
162 NuE CC 0.1 -75 2 0
163 NuE CC 0.4 -75 2 0
164 NuE CC 0.7 -75 2 0
165 NuMu NC 0.9 -75 2 0
166 NuMu NC 0.6 -75 2 0
167 NuMu NC 0.3 -75 2 0
168 NuE CC 0.1 -75 3 0
169 NuE CC 0.4 -75 3 0
170 NuE CC 0.7 -75 3 0
171 NuMu NC 0.9 -75 3 0
172 NuMu NC 0.6 -75 3 0
173 NuMu NC 0.3 -75 3 0
174 NuE CC 0.1 -75 4 0
175 NuE CC 0.4 -75 4 0
176 NuE CC 0.7 -75 4 0
177 NuMu NC 0.9 -75 4 0
178 NuMu NC 0.6 -75 4 0
179 NuMu NC 0.3 -75 4 0
180 NuE CC 0.1 0 0 1
181 NuE CC 0.4 0 0 1
182 NuE CC 0.7 0 0 1
183 NuMu NC 0.9 0 0 1
184 NuMu NC 0.6 0 0 1
185 NuMu NC 0.3 0 0 1
186 NuE CC 0.1 0 1 1
187 NuE CC 0.4 0 1 1
188 NuE CC 0.7 0 1 1
189 NuMu NC 0.9 0 1 1
190 NuMu NC 0.6 0 1 1
191 NuMu NC 0.3 0 1 1
192 NuE CC 0.1 0 2 1
193 NuE CC 0.4 0 2 1
194 NuE CC 0.7 0 2 1
195 NuMu NC 0.9 0 2 1
196 NuMu NC 0.6 0 2 1
197 NuMu NC 0.3 0 2 1
198 NuE CC 0.1 0 3 1
199 NuE CC 0.4 0 3 1
200 NuE CC 0.7 0 3 1
201 NuMu NC 0.9 0 3 1
202 NuMu NC 0.6 0 3 1
203 NuMu NC 0.3 0 3 1
204 NuE CC 0.1 0 4 1
205 NuE CC 0.4 0 4 1
206 NuE CC 0.7 0 4 1
207 NuMu NC 0.9 0 4 1
208 NuMu NC 0.6 0 4 1
209 NuMu NC 0.3 0 4 1
210 NuE CC 0.1 -15 0 1
211 NuE CC 0.4 -15 0 1
212 NuE CC 0.7 -15 0 1
213 NuMu NC 0.9 -15 0 1
214 NuMu NC 0.6 -15 0 1
215 NuMu NC 0.3 -15 0 1
216 NuE CC 0.1 -15 1 1
217 NuE CC 0.4 -15 1 1
218 NuE CC 0.7 -15 1 1
219 NuMu NC 0.9 -15 1 1
220 NuMu NC 0.6 -15 1 1
221 NuMu NC 0.3 -15 1 1
222 NuE CC 0.1 -15 2 1
223 NuE CC 0.4 -15 2 1
224 NuE CC 0.7 -15 2 1
225 NuMu NC 0.9 -15 2 1
226 NuMu NC 0.6 -15 2 1
227 NuMu NC 0.3 -15 2 1
228 NuE CC 0.1 -15 3 1
229 NuE CC 0.4 -15 3 1
230 NuE CC 0.7 -15 3 1
231 NuMu NC 0.9 -15 3 1
232 NuMu NC 0.6 -15 3 1
233 NuMu NC 0.3 -15 3 1
234 NuE CC 0.1 -15 4 1
235 NuE CC 0.4 -15 4 1
236 NuE CC 0.7 -15 4 1
237 NuMu NC 0.9 -15 4 1
238 NuMu NC 0.6 -15 4 1
239 NuMu NC 0.3 -15 4 1
240 NuE CC 0.1 -30 0 1
241 NuE CC 0.4 -30 0 1
242 NuE CC 0.7 -30 0 1
243 NuMu NC 0.9 -30 0 1
244 NuMu NC 0.6 -30 0 1
245 NuMu NC 0.3 -30 0 1
246 NuE CC 0.1 -30 1 1
247 NuE CC 0.4 -30 1 1
248 NuE CC 0.7 -30 1 1
249 NuMu NC 0.9 -30 1 1
250 NuMu NC 0.6 -30 1 1
251 NuMu NC 0.3 -30 1 1
252 NuE CC 0.1 -30 2 1
253 NuE CC 0.4 -30 2 1
254 NuE CC 0.7 -30 2 1
255 NuMu NC 0.9 -30 2 1
256 NuMu NC 0.6 -30 2 1
257 NuMu NC 0.3 -30 2 1
258 NuE CC 0.1 -30 3 1
259 NuE CC 0.4 -30 3 1
260 NuE CC 0.7 -30 3 1
261 NuMu NC 0.9 -30 3 1
262 NuMu NC 0.6 -30 3 1
263 NuMu NC 0.3 -30 3 1
264 NuE CC 0.1 -30 4 1
265 NuE CC 0.4 -30 4 1
266 NuE CC 0.7 -30 4 1
267 NuMu NC 0.9 -30 4 1
268 NuMu NC 0.6 -30 4 1
269 NuMu NC 0.3 -30 4 1
270 NuE CC 0.1 -45 0 1
271 NuE CC 0.4 -45 0 1
272 NuE CC 0.7 -45 0 1
273 NuMu NC 0.9 -45 0 1
274 NuMu NC 0.6 -45 0 1
275 NuMu NC 0.3 -45 0 1
276 NuE CC 0.1 -45 1 1
277 NuE CC 0.4 -45 1 1
278 NuE CC 0.7 -45 1 1
279 NuMu NC 0.9 -45 1 1
280 NuMu NC 0.6 -45 1 1
281 NuMu NC 0.3 -45 1 1
282 NuE CC 0.1 -45 2 1
283 NuE CC 0.4 -45 2 1
284 NuE CC 0.7 -45 2 1
285 NuMu NC 0.9 -45 2 1
286 NuMu NC 0.6 -45 2 1
287 NuMu NC 0.3 -45 2 1
288 NuE CC 0.1 -45 3 1
289 NuE CC 0.4 -45 3 1
290 NuE CC 0.7 -45 3 1
291 NuMu NC 0.9 -45 3 1
292 NuMu NC 0.6 -45 3 1
293 NuMu NC 0.3 -45 3 1
294 NuE CC 0.1 -45 4 1
295 NuE CC 0.4 -45 4 1
296 NuE CC 0.7 -45 4 1
297 NuMu NC 0.9 -45 4 1
298 NuMu NC 0.6 -45 4 1
299 NuMu NC 0.3 -45 4 1
300 NuE CC 0.1 -60 0 1
301 NuE CC 0.4 -60 0 1
302 NuE CC 0.7 -60 0 1
303 NuMu NC 0.9 -60 0 1
304 NuMu NC 0.6 -60 0 1
305 NuMu NC 0.3 -60 0 1
306 NuE CC 0.1 -60 1 1
307 NuE CC 0.4 -60 1 1
308 NuE CC 0.7 -60 1 1
309 NuMu NC 0.9 -60 1 1
310 NuMu NC 0.6 -60 1 1
311 NuMu NC 0.3 -60 1 1
312 NuE CC 0.1 -60 2 1
313 NuE CC 0.4 -60 2 1
314 NuE CC 0.7 -60 2 1
315 NuMu NC 0.9 -60 2 1
316 NuMu NC 0.6 -60 2 1
317 NuMu NC 0.3 -60 2 1
318 NuE CC 0.1 -60 3 1
319 NuE CC 0.4 -60 3 1
320 NuE CC 0.7 -60 3 1
321 NuMu NC 0.9 -60 3 1
322 NuMu NC 0.6 -60 3 1
323 NuMu NC 0.3 -60 3 1
324 NuE CC 0.1 -60 4 1
325 NuE CC 0.4 -60 4 1
326 NuE CC 0.7 -60 4 1
327 NuMu NC 0.9 -60 4 1
328 NuMu NC 0.6 -60 4 1
329 NuMu NC 0.3 -60 4 1
330 NuE CC 0.1 -75 0 1
331 NuE CC 0.4 -75 0 1
332 NuE CC 0.7 -75 0 1
333 NuMu NC 0.9 -75 0 1
334 NuMu NC 0.6 -75 0 1
335 NuMu NC 0.3 -75 0 1
336 NuE CC 0.1 -75 1 1
337 NuE CC 0.4 -75 1 1
338 NuE CC 0.7 -75 1 1
339 NuMu NC 0.9 -75 1 1
340 NuMu NC 0.6 -75 1 1
341 NuMu NC 0.3 -75 1 1
342 NuE CC 0.1 -75 2 1
343 NuE CC 0.4 -75 2 1
344 NuE CC 0.7 -75 2 1
345 NuMu NC 0.9 -75 2 1
346 NuMu NC 0.6 -75 2 1
347 NuMu NC 0.3 -75 2 1
348 NuE CC 0.1 -75 3 1
349 NuE CC 0.4 -75 3 1
350 NuE CC 0.7 -75 3 1
351 NuMu NC 0.9 -75 3 1
352 NuMu NC 0.6 -75 3 1
353 NuMu NC 0.3 -75 3 1
354 NuE CC 0.1 -75 4 1
355 NuE CC 0.4 -75 4 1
356 NuE CC 0.7 -75 4 1
357 NuMu NC 0.9 -75 4 1
358 NuMu NC 0.6 -75 4 1
359 NuMu NC 0.3 -75 4 1
360 NuE CC 0.1 0 0 2
361 NuE CC 0.4 0 0 2
362 NuE CC 0.7 0 0 2
363 NuMu NC 0.9 0 0 2
364 NuMu NC 0.6 0 0 2
365 NuMu NC 0.3 0 0 2
366 NuE CC 0.1 0 1 2
367 NuE CC 0.4 0 1 2
368 NuE CC 0.7 0 1 2
369 NuMu NC 0.9 0 1 2
370 NuMu NC 0.6 0 1 2
371 NuMu NC 0.3 0 1 2
372 NuE CC 0.1 0 2 2
373 NuE CC 0.4 0 2 2
374 NuE CC 0.7 0 2 2
375 NuMu NC 0.9 0 2 2
376 NuMu NC 0.6 0 2 2
377 NuMu NC 0.3 0 2 2
378 NuE CC 0.1 0 3 2
379 NuE CC 0.4 0 3 2
380 NuE CC 0.7 0 3 2
381 NuMu NC 0.9 0 3 2
382 NuMu NC 0.6 0 3 2
383 NuMu NC 0.3 0 3 2
384 NuE CC 0.1 0 4 2
385 NuE CC 0.4 0 4 2
386 NuE CC 0.7 0 4 2
387 NuMu NC 0.9 0 4 2
388 NuMu NC 0.6 0 4 2
389 NuMu NC 0.3 0 4 2
390 NuE CC 0.1 -15 0 2
391 NuE CC 0.4 -15 0 2
392 NuE CC 0.7 -15 0 2
393 NuMu NC 0.9 -15 0 2
394 NuMu NC 0.6 -15 0 2
395 NuMu NC 0.3 -15 0 2
396 NuE CC 0.1 -15 1 2
397 NuE CC 0.4 -15 1 2
398 NuE CC 0.7 -15 1 2
399 NuMu NC 0.9 -15 1 2
400 NuMu NC 0.6 -15 1 2
401 NuMu NC 0.3 -15 1 2
402 NuE CC 0.1 -15 2 2
403 NuE CC 0.4 -15 2 2
404 NuE CC 0.7 -15 2 2
405 NuMu NC 0.9 -15 2 2
406 NuMu NC 0.6 -15 2 2
407 NuMu NC 0.3 -15 2 2
408 NuE CC 0.1 -15 3 2
409 NuE CC 0.4 -15 3 2
410 NuE CC 0.7 -15 3 2
411 NuMu NC 0.9 -15 3 2
412 NuMu NC 0.6 -15 3 2
413 NuMu NC 0.3 -15 3 2
414 NuE CC 0.1 -15 4 2
415 NuE CC 0.4 -15 4 2
416 NuE CC 0.7 -15 4 2
417 NuMu NC 0.9 -15 4 2
418 NuMu NC 0.6 -15 4 2
419 NuMu NC 0.3 -15 4 2
420 NuE CC 0.1 -30 0 2
421 NuE CC 0.4 -30 0 2
422 NuE CC 0.7 -30 0 2
423 NuMu NC 0.9 -30 0 2
424 NuMu NC 0.6 -30 0 2
425 NuMu NC 0.3 -30 0 2
426 NuE CC 0.1 -30 1 2
427 NuE CC 0.4 -30 1 2
428 NuE CC 0.7 -30 1 2
429 NuMu NC 0.9 -30 1 2
430 NuMu NC 0.6 -30 1 2
431 NuMu NC 0.3 -30 1 2
432 NuE CC 0.1 -30 2 2
433 NuE CC 0.4 -30 2 2
434 NuE CC 0.7 -30 2 2
435 NuMu NC 0.9 -30 2 2
436 NuMu NC 0.6 -30 2 2
437 NuMu NC 0.3 -30 2 2
438 NuE CC 0.1 -30 3 2
439 NuE CC 0.4 -30 3 2
440 NuE CC 0.7 -30 3 2
441 NuMu NC 0.9 -30 3 2
442 NuMu NC 0.6 -30 3 2
443 NuMu NC 0.3 -30 3 2
444 NuE CC 0.1 -30 4 2
445 NuE CC 0.4 -30 4 2
446 NuE CC 0.7 -30 4 2
447 NuMu NC 0.9 -30 4 2
448 NuMu NC 0.6 -30 4 2
449 NuMu NC 0.3 -30 4 2
450 NuE CC 0.1 -45 0 2
451 NuE CC 0.4 -45 0 2
452 NuE CC 0.7 -45 0 2
453 NuMu NC 0.9 -45 0 2
454 NuMu NC 0.6 -45 0 2
455 NuMu NC 0.3 -45 0 2
456 NuE CC 0.1 -45 1 2
457 NuE CC 0.4 -45 1 2
458 NuE CC 0.7 -45 1 2
459 NuMu NC 0.9 -45 1 2
460 NuMu NC 0.6 -45 1 2
461 NuMu NC 0.3 -45 1 2
462 NuE CC 0.1 -45 2 2
463 NuE CC 0.4 -45 2 2
464 NuE CC 0.7 -45 2 2
465 NuMu NC 0.9 -45 2 2
466 NuMu NC 0.6 -45 2 2
467 NuMu NC 0.3 -45 2 2
468 NuE CC 0.1 -45 3 2
469 NuE CC 0.4 -45 3 2
470 NuE CC 0.7 -45 3 2
471 NuMu NC 0.9 -45 3 2
472 NuMu NC 0.6 -45 3 2
473 NuMu NC 0.3 -45 3 2
474 NuE CC 0.1 -45 4 2
475 NuE CC 0.4 -45 4 2
476 NuE CC 0.7 -45 4 2
477 NuMu NC 0.9 -45 4 2
478 NuMu NC 0.6 -45 4 2
479 NuMu NC 0.3 -45 4 2
480 NuE CC 0.1 -60 0 2
481 NuE CC 0.4 -60 0 2
482 NuE CC 0.7 -60 0 2
483 NuMu NC 0.9 -60 0 2
484 NuMu NC 0.6 -60 0 2
485 NuMu NC 0.3 -60 0 2
486 NuE CC 0.1 -60 1 2
487 NuE CC 0.4 -60 1 2
488 NuE CC 0.7 -60 1 2
489 NuMu NC 0.9 -60 1 2
490 NuMu NC 0.6 -60 1 2
491 NuMu NC 0.3 -60 1 2
492 NuE CC 0.1 -60 2 2
493 NuE CC 0.4 -60 2 2
494 NuE CC 0.7 -60 2 2
495 NuMu NC 0.9 -60 2 2
496 NuMu NC 0.6 -60 2 2
497 NuMu NC 0.3 -60 2 2
498 NuE CC 0.1 -60 3 2
499 NuE CC 0.4 -60 3 2
500 NuE CC 0.7 -60 3 2
501 NuMu NC 0.9 -60 3 2
502 NuMu NC 0.6 -60 3 2
503 NuMu NC 0.3 -60 3 2
504 NuE CC 0.1 -60 4 2
505 NuE CC 0.4 -60 4 2
506 NuE CC 0.7 -60 4 2
507 NuMu NC 0.9 -60 4 2
508 NuMu NC 0.6 -60 4 2
509 NuMu NC 0.3 -60 4 2
510 NuE CC 0.1 -75 0 2
511 NuE CC 0.4 -75 0 2
512 NuE CC 0.7 -75 0 2
513 NuMu NC 0.9 -75 0 2
514 NuMu NC 0.6 -75 0 2
515 NuMu NC 0.3 -75 0 2
516 NuE CC 0.1 -75 1 2
517 NuE CC 0.4 -75 1 2
518 NuE CC 0.7 -75 1 2
519 NuMu NC 0.9 -75 1 2
520 NuMu NC 0.6 -75 1 2
521 NuMu NC 0.3 -75 1 2
522 NuE CC 0.1 -75 2 2
523 NuE CC 0.4 -75 2 2
524 NuE CC 0.7 -75 2 2
525 NuMu NC 0.9 -75 2 2
526 NuMu NC 0.6 -75 2 2
527 NuMu NC 0.3 -75 2 2
528 NuE CC 0.1 -75 3 2
529 NuE CC 0.4 -75 3 2
530 NuE CC 0.7 -75 3 2
531 NuMu NC 0.9 -75 3 2
532 NuMu NC 0.6 -75 3 2
533 NuMu NC 0.3 -75 3 2
534 NuE CC 0.1 -75 4 2
535 NuE CC 0.4 -75 4 2
536 NuE CC 0.7 -75 4 2
537 NuMu NC 0.9 -75 4 2
538 NuMu NC 0.6 -75 4 2
539 NuMu NC 0.3 -75 4 2
540 NuE CC 0.1 0 0 3
541 NuE CC 0.4 0 0 3
542 NuE CC 0.7 0 0 3
543 NuMu NC 0.9 0 0 3
